"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"5058","5058",2688.87807868185,0,50.884,0,0,68.1,0,0,31.9,0,NA,NA,40.2,40.2,NA,NA,NA,NA,NA,NA,NA,NA,5021,5021,NA,NA,NA,NA,NA,NA
"5059","5059",1782.44483797795,0,0,0,0,47.02,0,25.96,27.02,0,NA,NA,25.9,25.9,25.9,25.9,NA,NA,NA,NA,NA,NA,2475,2475,2475,2475,NA,NA,NA,NA
"506","506",2009.65216016719,1545.916,0,0,0,58.32,0,13.05,28.64,0,NA,NA,33.8,33.8,33.8,33.8,NA,NA,NA,NA,NA,NA,3472,3472,3472,3472,NA,NA,NA,NA
"5060","5060",2204.75837667174,692.645,0,0,0,55.26,0,44.74,0,0,NA,NA,29.8,29.8,NA,NA,NA,NA,NA,NA,NA,NA,3066,3066,NA,NA,NA,NA,NA,NA
"5061","5061",2296.95687089834,277.622,944.788,0,0,32,0,34.27,33.73,0,NA,NA,42.6,42.6,NA,NA,NA,NA,NA,NA,NA,NA,3903,3903,NA,NA,NA,NA,NA,NA
"5062","5062",1801.39760532,384.518,0,16.07,0,49.84,0.72,15.51,33.93,1,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2438,NA,NA,NA,NA,NA,NA,NA
"5063","5063",2684.30955192277,1392.925,0,0,0,30.55,0,41.96,27.49,1,NA,NA,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4312,NA,NA,NA,NA,NA,NA,NA
"5064","5064",2185.20518109091,0,0,0,0,71.62,0,28.38,0,0,NA,NA,28.5,28.5,28.5,28.5,NA,NA,NA,NA,NA,NA,3267,3267,3267,3267,NA,NA,NA,NA
"5065","5065",5013.24644837706,0,0,0,0,38.6,0,50.71,10.68,0,NA,NA,83.1,83.1,NA,NA,NA,NA,NA,NA,NA,NA,7030,7030,NA,NA,NA,NA,NA,NA
"5066","5066",5173.24205803043,564.317,0,0,0,37.35,0,37.77,24.88,0,NA,NA,86.5,86.5,NA,NA,NA,NA,NA,NA,NA,NA,7277,7277,NA,NA,NA,NA,NA,NA
"5067","5067",1579.79610847285,0,0,0,0,18.78,0,53.65,27.58,0,NA,NA,17.2,17.2,NA,NA,NA,NA,NA,NA,NA,NA,2293,2293,NA,NA,NA,NA,NA,NA
"5068","5068",1910.81396244642,262.114,0,0,0,35.41,0,51.87,12.72,0,NA,NA,29.5,29.5,NA,NA,NA,NA,NA,NA,NA,NA,2722,2722,NA,NA,NA,NA,NA,NA
"5069","5069",1701.41446777255,0,414.273,0,0,10.14,0,25.48,64.38,0,NA,NA,31.2,31.2,NA,NA,NA,NA,NA,NA,NA,NA,2585,2585,NA,NA,NA,NA,NA,NA
"507","507",3030.47435464862,2702.992,0,0,0,63.96,0,28.69,7.35,0,NA,NA,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4956,NA,NA,NA,NA,NA,NA,NA
"5070","5070",1113.48883278207,340.738,0,0,0,19.39,0,56.95,23.66,0,NA,NA,32.7,32.7,NA,NA,NA,NA,NA,NA,NA,NA,2702,2702,NA,NA,NA,NA,NA,NA
"5072","5072",2846.4015552741,1189.817,0,0,0,32.04,0,2.03,65.93,0,NA,NA,49,49,NA,NA,NA,NA,NA,NA,NA,NA,3858,3858,NA,NA,NA,NA,NA,NA
"5073","5073",6241.31509756221,908.173,0,0,0,80.37,0,6.87,12.76,0,NA,NA,67.9,67.9,NA,NA,NA,NA,NA,NA,NA,NA,9140,9140,NA,NA,NA,NA,NA,NA
"5075","5075",924.612681151397,0,0,0,0,0,0,100,0,0,NA,NA,18.2,18.2,18.2,18.2,NA,NA,NA,NA,NA,NA,1332,1332,1332,1332,NA,NA,NA,NA
"5076","5076",3229.24654729603,0,0,0,0,59.03,0,38.69,2.28,0,NA,NA,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5045,NA,NA,NA,NA,NA,NA,NA
"5077","5077",4029.72217293067,2249.531,0,0,0,68.99,0,27.42,3.59,1,NA,NA,47.3,47.3,NA,NA,NA,NA,NA,NA,NA,NA,5455,5455,NA,NA,NA,NA,NA,NA
"5078","5078",1465.86246878118,0,0,0,0,44.83,0,25.8,29.36,0,NA,NA,28.3,28.3,NA,NA,NA,NA,NA,NA,NA,NA,2457,2457,NA,NA,NA,NA,NA,NA
"508","508",1898.87473771401,0,0,0,0,45.52,0,54.48,0,0,NA,NA,25.4,25.4,25.4,25.4,NA,NA,NA,NA,NA,NA,2685,2685,2685,2685,NA,NA,NA,NA
"5080","5080",1103.75641125351,0,18.089,0,0,61.21,0,17.34,21.45,0,NA,NA,13.9,13.9,13.9,13.9,NA,NA,13.9,13.9,NA,NA,1622,1622,1622,1622,NA,NA,1622,1622
"5081","5081",1054.05986651558,596.844,0,0,0,95.6,0,1.33,3.07,0,NA,NA,10.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,2410,2410,NA,NA,NA,NA,NA,NA
"5083","5083",1004.15176318213,0,0,0,0,14.55,0,8.63,76.83,0,NA,NA,17.2,17.2,17.2,17.2,NA,NA,NA,NA,NA,NA,1327,1327,1327,1327,NA,NA,NA,NA
"5084","5084",2363.28007799991,1067.745,0,0,0,55.04,0,2.45,42.51,0,NA,NA,47.7,47.7,NA,NA,NA,NA,NA,NA,NA,NA,4034,4034,NA,NA,NA,NA,NA,NA
"5085","5085",2483.03125396328,1584.74,0,0,0,64.58,0,25.24,10.19,0,NA,NA,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3826,NA,NA,NA,NA,NA,NA,NA
"5086","5086",2910.51072798549,209.562,0,0,0,14.96,0,33.18,51.85,0,NA,NA,48,48,NA,NA,NA,NA,NA,NA,NA,NA,3536,3536,NA,NA,NA,NA,NA,NA
"5087","5087",1036.88389645286,0,0,0,0,23.59,0,16.14,60.27,0,NA,NA,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,NA,NA,1431,1431,1431,1431,1431,1431,1431,1431
"5088","5088",3836.10874445611,3593.795,0,0,0,63.89,0,24.36,11.75,1,NA,NA,55.7,55.7,55.7,55.7,NA,NA,NA,NA,NA,NA,6172,6172,6172,6172,NA,NA,NA,NA
"5089","5089",841.801993810586,0,0,0,0,35.99,0,42.08,21.93,0,NA,NA,18.4,18.4,NA,NA,NA,NA,NA,NA,NA,NA,1936,1936,NA,NA,NA,NA,NA,NA
"509","509",927.051621850315,1580.53,0,0,0,100,0,0,0,0,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,NA,NA,NA,5469,5469,NA,NA,NA,NA,NA,NA
"5090","5090",1031.61621047101,0,0,0,0,72.25,0,27.75,0,0,NA,NA,26.8,26.8,NA,NA,NA,NA,NA,NA,NA,NA,3389,3389,NA,NA,NA,NA,NA,NA
"5091","5091",987.4969681564,0,0,0,0,58.12,0,41.88,0,0,NA,NA,16.6,16.6,NA,NA,NA,NA,NA,NA,NA,NA,1770,1770,NA,NA,NA,NA,NA,NA
"5092","5092",2603.21589523378,0,0,0,0,51.02,0,31.28,17.7,0,NA,NA,45.6,45.6,NA,NA,NA,NA,NA,NA,NA,NA,4198,4198,NA,NA,NA,NA,NA,NA
