"from_id","to_id","dist_2016","dist_2021"
"167","167",12091,12322
"168","168",8464,8687
"169","169",14811,14684
"170","170",14364,14479
"171","171",9565,10073
"172","172",7953,7482
"173","173",15415,15199
"174","174",7731,7937
"175","175",3753,3162
"176","176",13219,12282
"177","177",12897,12938
"178","178",17245,17094
"179","179",12851,12325
"180","180",3008,3061
"181","181",16397,15156
"182","182",12375,11159
"183","183",16956,16883
"184","184",8994,8510
"185","185",16284,14681
"186","186",14302,13696
"187","187",8880,8877
"188","188",7061,8217
"191","191",9978,9808
"192","192",6657,7338
"193","193",14242,13800
"194","194",7749,7366
"195","195",14802,15573
"196","196",12279,13633
"197","197",10603,10045
"198","198",12710,12710
"199","199",10371,10259
"200","200",16392,16301
"201","201",13178,11671
"203","203",6382,6339
"204","204",1996,1966
"205","205",11255,10812
"206","206",4574,4339
"207","207",3709,4106
"208","208",1807,1791
"209","209",16405,15018
"210","210",3975,3939
"211","211",6971,7050
"212","212",10871,10541
"215","215",13004,12796
"217","217",8168,8071
"218","218",6002,5335
"219","219",9443,10097
"220","220",9509,10311
"221","221",9185,8266
"222","222",6307,5446
"223","223",12776,13586
"226","226",11582,11187
"227","227",5040,4893
"228","228",2866,2831
"230","230",10771,11242
"231","231",7309,7681
"233","233",13305,13296
"234","234",5875,5997
"236","236",13103,13583
"238","238",7837,8005
"239","239",13980,14245
"241","241",12425,11981
"242","242",11754,11287
"243","243",13261,12551
"244","244",5826,6174
"246","246",7251,7578
"247","247",12748,12972
"248","248",9611,9434
"249","249",14555,13696
"250","250",4597,4023
"251","251",8902,8546
"252","252",11352,11027
"256","256",9365,8243
"258","258",7744,7530
"259","259",14956,14392
"260","260",11033,10702
"261","261",12158,12377
"262","262",4668,4771
"263","263",9164,9697
"264","264",5434,5299
"265","265",9750,10078
"267","267",15227,15800
"268","268",10408,10458
"269","269",11434,11468
"270","270",10892,13344
"271","271",6372,6927
"272","272",4859,4878
"273","273",7285,6905
"275","275",8201,7649
"276","276",8391,7834
"277","277",8497,8365
"279","279",1556,1440
"280","280",9925,10136
"281","281",2474,2420
"283","283",5270,5100
"284","284",6215,6269
"285","285",14200,13935
"286","286",10551,11430
"287","287",10662,9822
"288","288",7432,7241
"289","289",11455,10508
"290","290",11912,10730
"291","291",16986,16724
"292","292",9146,9552
"293","293",8233,8398
"294","294",4263,4725
"295","295",13092,13735
"296","296",15662,14450
"297","297",11819,12488
"298","298",10368,9594
"299","299",11310,9916
"300","300",15135,14140
"301","301",10423,10708
"302","302",14180,14357
"303","303",6759,6489
"304","304",3471,2929
"305","305",9247,10067
"306","306",9847,8120
"307","307",6656,6423
"308","308",13031,12876
"309","309",10263,10836
"310","310",2528,2046
"311","311",8941,8486
"313","313",11485,11617
"315","315",6322,6384
"317","317",11902,11899
"318","318",7125,7412
"319","319",7073,6975
"321","321",11462,11486
"322","322",13238,13498
"323","323",14527,10448
"325","325",9181,8689
"326","326",5533,5374
"329","329",13477,12446
"330","330",12478,11818
"332","332",8588,7471
"333","333",14584,13662
"334","334",8392,8170
"335","335",13632,13031
"338","338",15319,14414
"339","339",14462,14006
"340","340",10635,10176
"342","342",2516,2639
"343","343",13443,13342
"344","344",9821,10052
"346","346",8764,8639
"347","347",11998,12673
"348","348",6999,7375
"351","351",12244,12036
"352","352",2544,2613
"356","356",10929,11173
"359","359",6034,5756
"360","360",3711,3674
"361","361",7136,6790
"362","362",10740,10513
"363","363",15923,15357
"364","364",8328,7894
"365","365",8517,8527
"366","366",5254,5080
"367","367",7871,7964
"368","368",7036,6205
"369","369",11240,11132
"370","370",10163,10083
"371","371",6413,6477
"373","373",12416,12107
"374","374",16383,15676
"375","375",2023,1661
"376","376",11021,11779
"378","378",9214,9351
"381","381",11105,10645
"383","383",9684,8830
"384","384",8883,9239
"387","387",7414,7179
"389","389",14944,14866
"391","391",10560,9364
"392","392",5382,4991
"393","393",10901,10948
"394","394",9782,9488
"395","395",6303,6100
"396","396",7763,7830
"397","397",8376,7651
"398","398",10984,7732
"399","399",3645,4286
"400","400",11238,11391
"402","402",8593,8484
"403","403",15102,16814
"404","404",15276,15078
"405","405",9696,9861
"406","406",8419,9338
"407","407",3316,3782
"408","408",4418,4278
"409","409",9026,7958
"410","410",12574,11763
"411","411",11600,11567
"412","412",7662,7551
"413","413",12470,12934
"414","414",2383,1970
"415","415",10631,10354
"416","416",12586,12472
"418","418",16614,16443
"419","419",3854,3892
"420","420",3232,3248
"421","421",14629,13842
"423","423",10268,10405
"424","424",9335,8965
"425","425",8212,8064
"426","426",6329,6522
"427","427",10727,8774
"428","428",14977,14275
"429","429",8437,7744
"430","430",10934,11433
"431","431",6274,6382
"432","432",8467,7813
"434","434",17144,16948
"435","435",6938,6739
"436","436",6780,6676
"438","438",9230,9078
"441","441",11359,12509
"442","442",4561,4371
"443","443",12693,10944
"444","444",3905,3386
"445","445",14131,13009
"448","448",1020,883
"450","450",5228,5117
"451","451",5727,5512
"452","452",13098,13611
"453","453",6480,6585
"454","454",6411,6062
"455","455",7564,8604
"456","456",8638,8848
"457","457",11324,11158
"458","458",14060,12433
"460","460",3928,3468
"461","461",13862,13420
"462","462",11854,12076
"463","463",5273,5508
"464","464",13098,11512
"465","465",13075,11476
"467","467",4391,3730
"468","468",7038,6948
"469","469",17202,17323
"470","470",16362,17495
"471","471",10738,10610
"472","472",1075,1159
"473","473",9640,8568
"476","476",15705,16657
"477","477",9504,9013
"478","478",12835,12287
"479","479",6358,5697
"480","480",6292,6773
"481","481",8954,8877
"482","482",4374,4237
"483","483",3577,3950
"484","484",6407,6916
"485","485",4471,4333
"486","486",10785,10287
"487","487",8567,8628
"488","488",11189,11391
"489","489",9180,9156
"491","491",7822,7373
"493","493",14254,13949
"494","494",10843,10540
"496","496",13128,14195
"497","497",10943,12110
"498","498",12559,12753
"499","499",6361,7830
"500","500",10678,10297
"501","501",12713,12720
"503","503",14098,13584
"504","504",9517,8882
"505","505",5523,4977
"506","506",6434,4946
"508","508",6251,6343
"509","509",14186,13742
"510","510",7391,8111
"511","511",6151,5856
"512","512",12875,12957
"513","513",6567,6624
"515","515",12131,11842
"516","516",15709,15735
"517","517",10076,9212
"518","518",9398,8596
"519","519",6005,7141
"520","520",10742,10985
"522","522",2709,2392
"523","523",8173,7740
"524","524",10014,10714
"526","526",12676,12488
"527","527",14870,12674
"529","529",4670,4335
"530","530",6124,7012
"531","531",7163,6942
"533","533",11365,11969
"534","534",14134,13667
"536","536",1156,1150
"537","537",11000,10705
"538","538",14533,14641
"539","539",4362,4019
"540","540",12495,12136
"541","541",12148,11947
"542","542",16546,15950
"543","543",5228,5436
"544","544",11369,11835
"546","546",11983,12828
"547","547",5412,5440
"548","548",12898,12476
"549","549",6995,7054
"550","550",15150,14590
"551","551",8262,8292
"552","552",6782,5229
"553","553",13632,11607
"554","554",10982,11022
"555","555",13954,13505
"556","556",13083,13429
"558","558",13303,11803
"559","559",12406,11713
"560","560",8478,7923
"561","561",8865,8160
"562","562",4741,4989
"563","563",10532,10401
"565","565",5933,5059
"566","566",10053,10906
"567","567",16568,15953
"568","568",15808,14868
"569","569",12268,13170
"570","570",14824,14731
"571","571",15143,14215
"572","572",12519,11917
"573","573",8888,8368
"574","574",10459,11245
"576","576",8215,8754
"579","579",3224,3630
"581","581",7039,7345
"582","582",10160,9294
"583","583",14641,14240
"584","584",12704,10894
"585","585",16847,16060
"587","587",5441,5281
"588","588",9878,9393
"589","589",12697,12895
"590","590",9621,10122
"591","591",8441,7656
"592","592",8251,7910
"593","593",7271,6275
"594","594",9151,9206
"595","595",5270,4924
"596","596",4660,4306
"597","597",11795,10546
"598","598",8753,8692
"599","599",6034,5863
"601","601",14949,13790
"602","602",13326,13261
"603","603",14889,13927
"604","604",9397,8896
"605","605",5232,5969
"607","607",15118,14669
"608","608",11308,10896
"609","609",15014,15089
"610","610",6286,6579
"612","612",3137,3253
"615","615",11528,10731
"616","616",1687,1661
"617","617",11019,11426
"618","618",10259,10343
"619","619",6753,6582
"622","622",10469,9655
"623","623",8908,8596
"624","624",13703,13015
"625","625",10489,10113
"628","628",4867,5178
"629","629",4516,4243
"630","630",7642,7891
"631","631",14104,13699
"632","632",5643,4047
"636","636",5042,4417
"637","637",11650,11985
"638","638",8614,8719
"639","639",9777,9705
"640","640",12234,11934
"641","641",9412,9651
"642","642",14282,13999
"643","643",9887,8999
"644","644",6189,5861
"645","645",8239,8347
"646","646",14519,13936
"647","647",3095,2911
"648","648",10908,10537
"649","649",3901,4065
"650","650",14894,14453
"651","651",13008,13152
"652","652",14499,14130
"653","653",5340,4680
"654","654",4987,4817
"655","655",11838,12076
"656","656",6428,5274
"659","659",6203,6781
"660","660",7636,8034
"661","661",9642,8479
"662","662",8994,9119
"663","663",13381,12664
"664","664",11132,10407
"665","665",14157,13545
"666","666",8306,9013
"667","667",2885,2311
"668","668",9972,9350
"669","669",15253,16074
"670","670",9968,11248
"671","671",15063,13330
"672","672",8652,8009
"673","673",16704,14601
"674","674",10472,10350
"675","675",13052,13227
"676","676",14455,13516
"677","677",5122,5562
"679","679",12130,12859
"680","680",3160,3870
"681","681",8834,7140
"682","682",13161,12947
"683","683",5798,5246
"685","685",6226,6109
"686","686",13074,12683
"687","687",6538,5738
"688","688",7775,8866
"689","689",15346,12455
"690","690",14521,13661
"691","691",5012,4673
"692","692",7203,8121
"693","693",9878,9740
"694","694",2849,3468
"695","695",13796,14164
"696","696",8810,9314
"697","697",9334,10240
"698","698",12234,11427
"700","700",12566,12787
"701","701",7166,7349
"702","702",5575,6134
"703","703",15839,15081
"704","704",12958,11923
"705","705",11129,11880
"706","706",15794,15423
"707","707",10404,9611
"711","711",11824,12438
"712","712",2710,2228
"714","714",2731,2707
"715","715",7927,7246
"716","716",12726,12223
"717","717",11589,11882
"718","718",1920,2080
"720","720",13870,13978
"721","721",9681,9165
"722","722",4485,5072
"724","724",8967,9200
"725","725",4191,4205
"727","727",4271,5038
"728","728",8224,8689
"729","729",5577,4883
"730","730",13425,12711
"732","732",15660,15312
"734","734",8515,8521
"735","735",8061,7557
"736","736",13558,13195
"737","737",9338,8821
"738","738",1221,1256
"739","739",11994,12036
"740","740",14133,12806
"741","741",6327,6979
"742","742",8757,8758
"743","743",7721,7003
"744","744",10540,9675
"745","745",9555,9201
"746","746",10544,10900
"748","748",11880,10489
"749","749",13399,12908
"751","751",11830,11557
"752","752",7127,7454
"753","753",9691,8880
"754","754",6409,5762
"755","755",12617,12294
"757","757",11524,11271
"759","759",12545,10891
"760","760",12958,13488
"761","761",10256,10011
"762","762",9400,7681
"763","763",5545,5367
"764","764",13469,12520
"765","765",6930,7737
"766","766",4178,4354
"767","767",7785,8354
"768","768",9214,9462
"769","769",10580,10082
"770","770",10722,10584
"772","772",10358,10266
"773","773",8794,8354
"774","774",13654,13690
"776","776",10459,11858
"778","778",6880,6815
"779","779",4026,3973
"780","780",7430,7850
"782","782",15874,15210
"783","783",7731,8829
"784","784",8885,8551
"785","785",5617,5454
"786","786",10677,11807
"788","788",4407,4157
"789","789",15560,15199
"790","790",10715,10384
"792","792",12097,11669
"793","793",3335,3461
"794","794",13126,13298
"795","795",9064,8365
"798","798",5493,5654
"799","799",13360,12926
"800","800",14811,14413
"803","803",12919,14605
"804","804",13423,12862
"805","805",12694,12059
"807","807",14176,14111
"808","808",11561,10808
"809","809",5881,6359
"811","811",15081,14253
"812","812",9534,8652
"813","813",8203,7238
"814","814",7569,8055
"817","817",6418,5993
"819","819",11669,10485
"820","820",13994,14731
"821","821",7445,7351
"823","823",4139,4057
"824","824",12842,12713
"825","825",11009,10906
"828","828",14871,15300
"829","829",6676,6468
"830","830",11504,10433
"831","831",6396,5664
"832","832",6573,6854
"833","833",1882,1843
"835","835",3674,4250
"836","836",4466,4254
"838","838",12564,12614
"839","839",11158,11072
"840","840",5827,5725
"841","841",15689,14590
"842","842",938,963
"843","843",5401,5152
"844","844",8381,8530
"845","845",12630,11686
"846","846",12111,11276
"847","847",4143,3787
"848","848",16343,16762
"850","850",13442,13535
"851","851",12703,12508
"852","852",7656,7741
"853","853",7276,7271
"854","854",8303,7394
"855","855",10831,10942
"856","856",8163,8763
"857","857",11927,11173
"858","858",16539,16310
"859","859",8203,7857
"860","860",11673,11414
"861","861",12031,11224
"862","862",8231,7627
"863","863",7837,7487
"866","866",15736,16126
"867","867",8433,7917
"868","868",7886,7352
"869","869",4828,5017
"870","870",2780,3210
"871","871",9624,8263
"872","872",10947,10122
"873","873",7556,7291
"874","874",13454,11443
"876","876",7024,6925
"877","877",14512,13314
"878","878",11094,11169
"879","879",12671,11948
"881","881",9883,8868
"882","882",8423,8246
"883","883",14266,14208
"885","885",7067,7466
"886","886",15726,15210
"887","887",5425,4390
"888","888",4390,4415
"889","889",15240,14481
"890","890",12036,12604
"891","891",6340,5929
"892","892",9831,9360
"893","893",8031,7955
"894","894",10769,8452
"895","895",16771,15936
"896","896",5223,5509
"897","897",15882,14702
"898","898",6533,6487
"901","901",10055,9561
"902","902",15973,14903
"904","904",8120,7134
"906","906",12656,13011
"907","907",8251,8527
"908","908",5118,4998
"910","910",8625,8021
"912","912",4557,4201
"913","913",7808,7709
"914","914",6358,6278
"915","915",784,895
"917","917",6459,5495
"919","919",8929,8710
"920","920",13851,14901
"921","921",12410,11507
"923","923",11438,12101
"924","924",2393,2644
"925","925",10463,10633
"926","926",12521,11574
"927","927",11282,10137
"928","928",8459,8647
"929","929",11832,11734
"932","932",9631,10033
"933","933",7514,6416
"934","934",8935,9220
"935","935",8933,9026
"936","936",13978,13891
"938","938",7882,7434
"939","939",9855,9986
"940","940",7707,7208
"941","941",8952,9021
"942","942",15474,12576
"943","943",9262,9499
"944","944",14421,13600
"946","946",6406,6654
"947","947",6743,6537
"948","948",6625,6283
"949","949",10222,10260
"950","950",12150,12280
"951","951",5027,5295
"953","953",7496,6869
"954","954",12073,11480
"955","955",11670,11510
"956","956",9532,9211
"957","957",14697,14741
"958","958",4408,3508
"959","959",8933,9725
"960","960",4453,4942
"961","961",4712,4744
"962","962",2986,3055
"964","964",6495,5289
"965","965",11210,10888
"966","966",13234,12637
"967","967",16376,16340
"968","968",1669,1761
"970","970",11465,10860
"971","971",16077,13244
"974","974",6171,6075
"975","975",6450,5329
"976","976",10784,10808
"977","977",12878,13033
"978","978",2719,2290
"979","979",10159,10290
"981","981",8250,8181
"982","982",9190,8221
"984","984",13407,12647
"985","985",15109,15235
"986","986",15217,14599
"987","987",9320,9664
"988","988",8719,9051
"989","989",8328,7348
"991","991",9611,9530
"993","993",7506,7497
"994","994",12907,9099
"995","995",14324,14265
"996","996",10977,10093
"997","997",15813,14661
"998","998",7043,7357
"999","999",6826,6753
"1000","1000",12923,10862
"1001","1001",10059,10333
"1002","1002",9480,9573
"1003","1003",4456,4812
"1004","1004",8950,9778
"1005","1005",7630,8088
"1006","1006",3217,3139
"1007","1007",7626,7191
"1008","1008",1400,1651
"1009","1009",5844,5459
"1010","1010",10115,10025
"1011","1011",10337,9351
"1013","1013",2644,2841
"1014","1014",6072,5808
"1015","1015",5804,5471
"1016","1016",12955,12969
"1017","1017",9519,10036
"1018","1018",13903,13039
"1019","1019",15168,13737
"1020","1020",1965,1753
"1021","1021",6615,6651
"1022","1022",8169,7932
"1023","1023",11214,11184
"1024","1024",7373,7213
"1025","1025",10079,9097
"1026","1026",3154,3474
"1028","1028",6354,6340
"1030","1030",10729,10224
"1031","1031",9423,9922
"1033","1033",3320,3213
"1034","1034",8996,8901
"1035","1035",2841,2712
"1037","1037",7161,7345
"1041","1041",1265,1860
"1043","1043",12823,12481
"1044","1044",8582,7030
"1045","1045",11650,11692
"1046","1046",10242,10359
"1047","1047",14264,13577
"1048","1048",11143,10690
"1049","1049",15609,13690
"1050","1050",13046,11488
"1053","1053",10390,9673
"1054","1054",13094,13395
"1055","1055",15755,16136
"1056","1056",5860,5828
"1057","1057",11652,11684
"1058","1058",11517,12106
"1060","1060",16575,16629
"1061","1061",9546,10273
"1063","1063",13153,12670
"1064","1064",14628,14537
"1066","1066",7295,7593
"1067","1067",3838,3618
"1068","1068",16216,14308
"1074","1074",16275,15009
"1075","1075",7527,7258
"1077","1077",4446,4998
"1079","1079",3926,3955
"1080","1080",4130,4485
"1081","1081",9630,9480
"1082","1082",11913,12498
"1083","1083",2798,2237
"1084","1084",7830,8489
"1085","1085",12065,11462
"1086","1086",13120,11955
"1087","1087",11418,11737
"1088","1088",4240,4134
"1089","1089",5916,5339
"1090","1090",1528,1307
"1091","1091",5905,6342
"1092","1092",16968,16207
"1093","1093",6547,5961
"1095","1095",8000,8126
"1096","1096",15433,13836
"1097","1097",3604,3976
"1100","1100",3248,2796
"1101","1101",9812,10671
"1102","1102",13987,14953
"1103","1103",7227,6583
"1104","1104",7457,6570
"1105","1105",14123,13732
"1106","1106",12652,11342
"1107","1107",9995,9978
"1108","1108",13199,13843
"1110","1110",13741,13672
"1112","1112",14615,14931
"1113","1113",14729,15362
"1115","1115",6731,5409
"1116","1116",6198,6185
"1117","1117",8478,8043
"1119","1119",11196,11259
"1120","1120",4266,4186
"1121","1121",5936,5594
"1122","1122",13250,12936
"1124","1124",9630,8719
"1125","1125",6599,7035
"1127","1127",11526,10747
"1128","1128",11563,10856
"1129","1129",4597,4550
"1130","1130",12940,12743
"1132","1132",15430,12947
"1133","1133",3398,3185
"1135","1135",14355,14127
"1136","1136",15931,16322
"1137","1137",7216,7298
"1138","1138",8601,9371
"1140","1140",16038,12757
"1141","1141",6964,6529
"1142","1142",9714,8444
"1143","1143",10179,9662
"1144","1144",8527,7998
"1145","1145",11647,12846
"1146","1146",4348,4195
"1147","1147",11471,11893
"1148","1148",12058,11023
"1149","1149",13618,13368
"1151","1151",11117,10335
"1152","1152",876,1532
"1153","1153",8737,8700
"1154","1154",14517,13993
"1155","1155",1938,2125
"1156","1156",13982,13669
"1157","1157",5192,5144
"1158","1158",6671,6179
"1159","1159",12269,11252
"1160","1160",8382,8023
"1161","1161",3864,3690
"1162","1162",672,890
"1163","1163",1513,1704
"1164","1164",12050,12111
"1165","1165",7284,7732
"1167","1167",8773,8272
"1168","1168",9664,9380
"1169","1169",9714,10822
"1170","1170",2487,2274
"1172","1172",12342,10693
"1175","1175",14214,14033
"1176","1176",2789,2795
"1177","1177",13633,13383
"1178","1178",2924,2544
"1179","1179",13189,12983
"1180","1180",9562,9579
"1181","1181",3251,3589
"1182","1182",4021,3731
"1183","1183",10543,10103
"1184","1184",6633,7379
"1185","1185",3676,3439
"1186","1186",3785,3799
"1187","1187",13538,12795
"1188","1188",11681,12119
"1190","1190",14720,14828
"1191","1191",8300,8139
"1192","1192",10768,10400
"1194","1194",5542,5025
"1195","1195",16198,14098
"1196","1196",2067,1878
"1197","1197",10804,11170
"1199","1199",6917,6509
"1200","1200",8825,8301
"1201","1201",3821,3668
"1203","1203",15262,15634
"1204","1204",1056,1141
"1206","1206",7191,7655
"1207","1207",5146,4963
"1208","1208",10355,9800
"1210","1210",11573,11106
"1211","1211",4565,5300
"1213","1213",2657,2252
"1214","1214",7685,7011
"1215","1215",4183,3873
"1216","1216",14575,12530
"1218","1218",2294,2308
"1219","1219",5858,6015
"1220","1220",9647,10166
"1222","1222",10819,11106
"1223","1223",8468,8397
"1224","1224",4688,4779
"1225","1225",3538,3628
"1226","1226",8145,8793
"1227","1227",10367,10532
"1228","1228",2929,2957
"1229","1229",4940,4828
"1232","1232",7726,7078
"1233","1233",6578,5782
"1234","1234",8182,7790
"1236","1236",11968,11506
"1237","1237",5409,5258
"1238","1238",17077,17415
"1239","1239",9410,9739
"1240","1240",16340,16097
"1242","1242",8835,8386
"1243","1243",4204,4913
"1244","1244",11645,10797
"1245","1245",12214,11128
"1246","1246",11289,11260
"1247","1247",12364,11671
"1248","1248",5935,5136
"1249","1249",6441,6079
"1251","1251",11527,10924
"1252","1252",5559,5337
"1253","1253",9951,10685
"1254","1254",11128,10757
"1255","1255",12322,10635
"1256","1256",14410,14533
"1257","1257",6446,6570
"1259","1259",1556,1649
"1260","1260",17526,16953
"1261","1261",9376,8676
"1262","1262",2288,2602
"1263","1263",6473,6286
"1264","1264",9295,8909
"1265","1265",9425,9710
"1266","1266",14203,12972
"1269","1269",13826,14778
"1271","1271",9302,9260
"1273","1273",9301,9141
"1274","1274",14567,14010
"1275","1275",16491,16078
"1276","1276",13752,12648
"1279","1279",12076,10304
"1282","1282",9795,9081
"1283","1283",5190,6597
"1284","1284",12113,12318
"1285","1285",15049,15020
"1286","1286",15113,14207
"1287","1287",14239,11755
"1288","1288",12172,12885
"1290","1290",10068,9606
"1291","1291",7572,7174
"1292","1292",8684,8347
"1294","1294",8970,8589
"1296","1296",11457,11828
"1297","1297",9326,8897
"1298","1298",8563,7866
"1300","1300",13463,13603
"1302","1302",13755,12767
"1303","1303",15580,15428
"1304","1304",8913,8079
"1305","1305",12671,11507
"1306","1306",6321,5651
"1308","1308",11171,11740
"1311","1311",14418,14496
"1312","1312",9030,8351
"1314","1314",9657,9732
"1316","1316",14427,13527
"1317","1317",13976,13580
"1318","1318",13598,12978
"1319","1319",6027,6765
"1320","1320",10136,9839
"1321","1321",2965,2793
"1322","1322",11876,12654
"1323","1323",12956,12179
"1327","1327",5349,5719
"1328","1328",9754,9438
"1329","1329",13515,14506
"1330","1330",4534,4720
"1331","1331",8520,8730
"1332","1332",719,1196
"1333","1333",9130,8021
"1336","1336",4956,4870
"1337","1337",5615,5929
"1339","1339",8219,8589
"1340","1340",10356,9367
"1341","1341",10701,10729
"1343","1343",11281,10417
"1344","1344",10828,10818
"1345","1345",16654,15361
"1346","1346",6099,6695
"1347","1347",9150,8319
"1348","1348",15157,14276
"1349","1349",13258,12883
"1350","1350",6110,6032
"1351","1351",10479,10551
"1353","1353",6483,4418
"1354","1354",11569,11458
"1355","1355",9176,8447
"1356","1356",11004,11863
"1357","1357",12013,11467
"1358","1358",15379,14922
"1359","1359",3979,4792
"1360","1360",6607,7732
"1361","1361",15770,16954
"1362","1362",14815,15221
"1363","1363",10819,9586
"1365","1365",8588,10318
"1366","1366",13764,14140
"1367","1367",8912,9919
"1368","1368",10872,10806
"1369","1369",7618,7566
"1370","1370",13650,13371
"1371","1371",11131,10893
"1373","1373",8966,8516
"1374","1374",15752,14848
"1375","1375",2261,2556
"1376","1376",10176,9697
"1377","1377",9481,9031
"1379","1379",14669,14676
"1380","1380",10143,9983
"1381","1381",2042,2046
"1384","1384",5664,5376
"1385","1385",6757,6927
"1386","1386",6191,5931
"1387","1387",13923,13959
"1388","1388",6976,7114
"1390","1390",10087,9670
"1391","1391",14642,14706
"1392","1392",6444,6379
"1394","1394",3098,3122
"1395","1395",11643,11194
"1396","1396",11253,10229
"1397","1397",10602,10692
"1398","1398",13144,12250
"1399","1399",12486,12823
"1400","1400",2139,2140
"1401","1401",14784,13700
"1402","1402",4321,4056
"1403","1403",14592,14153
"1404","1404",6924,5620
"1405","1405",5981,6306
"1406","1406",13537,14345
"1407","1407",7434,7063
"1408","1408",1204,1596
"1409","1409",3068,3236
"1410","1410",11863,12041
"1411","1411",13927,12879
"1413","1413",14488,14363
"1414","1414",8132,8032
"1416","1416",9360,9903
"1419","1419",11189,10497
"1420","1420",9591,9324
"1421","1421",15053,14653
"1422","1422",6642,5821
"1424","1424",4721,5070
"1425","1425",12018,11531
"1427","1427",11569,11565
"1429","1429",7136,7083
"1430","1430",2829,3063
"1431","1431",14889,13992
"1432","1432",9427,8650
"1433","1433",8706,9088
"1435","1435",13837,13978
"1436","1436",10427,9125
"1437","1437",10814,9659
"1439","1439",6483,6960
"1440","1440",10318,10097
"1441","1441",11594,11737
"1445","1445",4887,5108
"1446","1446",14020,14026
"1447","1447",4434,4141
"1449","1449",10304,8478
"1450","1450",11323,11505
"1451","1451",8528,8466
"1453","1453",2955,3197
"1454","1454",11203,11105
"1455","1455",11486,11711
"1456","1456",10153,10206
"1458","1458",4339,4490
"1459","1459",5997,4770
"1460","1460",13157,13323
"1463","1463",14916,12330
"1464","1464",9008,8921
"1467","1467",9624,9406
"1468","1468",14951,14308
"1469","1469",15836,16633
"1470","1470",7608,8357
"1473","1473",15201,14453
"1474","1474",11309,11652
"1475","1475",4729,4522
"1476","1476",12828,13061
"1477","1477",7978,8343
"1478","1478",8936,7685
"1479","1479",17348,16439
"1480","1480",3171,3044
"1481","1481",3698,3659
"1482","1482",8758,8850
"1485","1485",7654,6552
"1486","1486",10257,10526
"1487","1487",6320,6191
"1488","1488",8979,8715
"1489","1489",10726,11364
"1490","1490",13851,13493
"1491","1491",15706,14173
"1492","1492",4948,4853
"1493","1493",12148,13817
"1494","1494",10491,11359
"1495","1495",6592,6353
"1496","1496",9058,10050
