"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","access_15min_vol","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes"
"Barcelona","2021",4,NA,5865.15,1.28,-1.07,29.28,49.74,18.35,6.56,25.27,84071777.7367,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19716
"Barcelona","2021",4,NA,5865.15,1.28,-1.07,29.28,49.74,18.35,6.56,25.27,84071777.7367,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19759
"Barcelona","2021",4,NA,5865.15,1.28,-1.07,29.28,49.74,18.35,6.56,25.27,84071777.7367,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19759
"Barcelona","2026",1,NA,6240.37,1.35,-5.47,48,93.31,1.12,1.78,3.74,47918066.38405,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19659
"Barcelona","2026",1,NA,6240.37,1.35,-5.47,48,93.31,1.12,1.78,3.74,47918066.38405,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19683
"Barcelona","2026",1,NA,6240.37,1.35,-5.47,48,93.31,1.12,1.78,3.74,47918066.38405,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19683
"Barcelona","2026",2,NA,6167.76,1.33,-6.54,49.24,87.16,7.45,1.67,3.68,52113344.97185,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19677
"Barcelona","2026",2,NA,6167.76,1.33,-6.54,49.24,87.16,7.45,1.67,3.68,52113344.97185,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19697
"Barcelona","2026",2,NA,6167.76,1.33,-6.54,49.24,87.16,7.45,1.67,3.68,52113344.97185,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19697
"Barcelona","2026",3,NA,6086.05,1.31,-3.41,43.18,74.35,7.9,14.28,3.42,60318407.22345,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19688
"Barcelona","2026",3,NA,6086.05,1.31,-3.41,43.18,74.35,7.9,14.28,3.42,60318407.22345,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19708
"Barcelona","2026",3,NA,6086.05,1.31,-3.41,43.18,74.35,7.9,14.28,3.42,60318407.22345,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19708
"Barcelona","2026",4,NA,5960.13,1.29,0.53,29,55.78,6.96,15.74,21.48,75698047.97165,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19716
"Barcelona","2026",4,NA,5960.13,1.29,0.53,29,55.78,6.96,15.74,21.48,75698047.97165,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19740
"Barcelona","2026",4,NA,5960.13,1.29,0.53,29,55.78,6.96,15.74,21.48,75698047.97165,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260224_114907",19740
