"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"17752","17752",3403.1110087162,890.941,142.224,134.624,894.902,79.07,10.96,4.61,5.35,7,NA,NA,NA,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4362,NA,NA,NA,NA,NA
"17753","17753",2950.29935824726,0,0,0,0,81.65,0,14.17,4.18,0,NA,NA,NA,NA,28.4,28.4,NA,NA,NA,NA,NA,NA,NA,NA,4116,4116,NA,NA,NA,NA
"17754","17754",3092.37730006173,546.312,425.749,986.833,272.628,80.87,3.04,4.59,11.5,2,NA,NA,NA,NA,33.3,31.8,NA,NA,NA,NA,NA,NA,NA,NA,4429,4429,NA,NA,NA,NA
"17756","17756",7723.08189011274,2276.309,1196.467,0,330.896,85.66,0.56,5.16,8.62,8,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,11628,NA,NA,NA,NA,NA
"17757","17757",1343.07971617151,326.969,0,0,0,89.19,0,3,7.81,0,NA,NA,NA,NA,13.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,2053,2053,NA,NA,NA,NA
"17758","17758",2531.17287528394,1040.274,620.041,33.213,216.329,86.59,0.41,4.81,8.19,3,NA,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3348,NA,NA,NA,NA,NA
"17759","17759",1992.0158213984,3643.352,0,338.773,0,96.15,0,1.41,2.44,1,NA,NA,NA,NA,28.8,28.8,NA,NA,NA,NA,NA,NA,NA,NA,5179,5179,NA,NA,NA,NA
"1776","1776",1134.06391874586,0,0,0,0,28.29,0,11.23,60.48,0,NA,NA,NA,NA,26.2,26.2,NA,NA,NA,NA,NA,NA,NA,NA,2305,2305,NA,NA,NA,NA
"17760","17760",1349.12228951052,128.937,418.021,23.163,0,88.2,0,2.29,9.51,2,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2449,NA,NA,NA,NA,NA
"17761","17761",4599.3665001181,2473.699,86.49,0,0,64.69,0,14.18,21.13,3,NA,NA,NA,NA,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,7128,NA,NA,NA,NA,NA
"17762","17762",1667.01464415411,0,0,0,0,90.82,0,9.18,0,0,NA,NA,NA,NA,15.1,15.1,NA,NA,NA,NA,NA,NA,NA,NA,2558,2558,NA,NA,NA,NA
"17763","17763",4077.59824350668,486.849,124.966,1536.854,0,92.7,0,1.11,6.19,3,NA,NA,NA,NA,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6758,NA,NA,NA,NA,NA
"17764","17764",2661.00222057877,111.538,0,823.95,0,83.18,0,6.4,10.43,1,NA,NA,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3813,NA,NA,NA,NA,NA
"17765","17765",2988.40441944418,932.243,189.144,882.657,18.76,76.67,1.61,9.78,11.94,3,NA,NA,NA,NA,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4624,NA,NA,NA,NA,NA
