"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"13575","13575",4889.31819771977,1588.655,0,0,0,68.48,0,23.26,8.26,1,NA,NA,78.3,78.3,NA,NA,NA,NA,NA,NA,NA,NA,8919,8919,NA,NA,NA,NA,NA,NA
"13576","13576",735.20809998813,736.176,0,0,0,79.08,0,6.81,14.11,0,NA,NA,9.1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,1228,1228,NA,NA,NA,NA,NA,NA
"13577","13577",2120.78462752242,200.497,0,0,458.491,48.57,0,41.07,10.36,0,NA,NA,63.6,63.6,NA,NA,NA,NA,NA,NA,NA,NA,5528,5528,NA,NA,NA,NA,NA,NA
"13578","13578",2847.22328134624,2015.556,0,0,0,87.31,1.22,6.4,5.07,0,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA
"13579","13579",2834.16074614991,916.626,0,0,76.889,78.53,3.45,9.6,8.43,1,NA,NA,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4482,NA,NA,NA,NA,NA,NA,NA
"1358","1358",2088.90868972791,2234.299,0,0,0,89.15,0,10.85,0,1,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,NA,3370,3370,NA,NA,NA,NA,NA,NA
"13580","13580",959.713104620627,0,0,0,0,47.3,16.22,36.49,0,0,NA,NA,17.4,15.3,NA,NA,NA,NA,NA,NA,NA,NA,1393,1393,NA,NA,NA,NA,NA,NA
"13581","13581",1265.26650071532,0,0,0,0,90.29,0,6.49,3.23,0,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1755,NA,NA,NA,NA,NA,NA,NA
"13582","13582",1035.36572498814,1592.759,0,0,0,77.7,0,0,22.3,0,NA,NA,16.6,16.6,NA,NA,NA,NA,NA,NA,NA,NA,2027,2027,NA,NA,NA,NA,NA,NA
"13583","13583",2246.62476976866,938.04,0,0,7.467,77.61,0,8.85,13.54,1,NA,NA,18.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,2766,2766,NA,NA,NA,NA,NA,NA
"13584","13584",1996.68009803284,894.46,0,0,66.946,81.5,6.68,3.35,8.47,1,NA,NA,22.4,20.3,NA,NA,NA,NA,NA,NA,NA,NA,2844,2844,NA,NA,NA,NA,NA,NA
"13585","13585",1569.64064500421,1685.187,0,0,0,81.43,13.03,0.91,4.62,1,NA,NA,14.7,11.9,NA,NA,NA,NA,NA,NA,NA,NA,2120,2120,NA,NA,NA,NA,NA,NA
"13586","13586",1461.94904043556,1888.602,0,0,0,78.77,0,12.33,8.9,0,NA,NA,23.7,23.7,NA,NA,NA,NA,NA,NA,NA,NA,3118,3118,NA,NA,NA,NA,NA,NA
"13587","13587",3765.72288343844,3169.225,0,0,71.538,84.07,1.06,3.32,11.55,4,NA,NA,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5563,NA,NA,NA,NA,NA,NA,NA
"13588","13588",2290.20387506819,0,0,0,0,19.65,0,80.35,0,0,NA,NA,63.2,63.2,NA,NA,NA,NA,NA,NA,NA,NA,4255,4255,NA,NA,NA,NA,NA,NA
"13589","13589",2420.48220176695,471.774,0,0,0,35.21,4.28,60.51,0,0,NA,NA,59,56.8,NA,NA,NA,NA,NA,NA,NA,NA,4850,4850,NA,NA,NA,NA,NA,NA
"1359","1359",1940.41125321529,0,0,0,0,47.52,0,29.96,22.52,0,NA,NA,21.8,21.8,NA,NA,NA,NA,NA,NA,NA,NA,2676,2676,NA,NA,NA,NA,NA,NA
"13590","13590",3476.37124469521,775.601,0,0,421.024,93.94,2.5,0.95,2.61,3,NA,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4261,NA,NA,NA,NA,NA,NA,NA
"13591","13591",4036.03695629002,2853.461,0,0,0,91.88,1.61,6.51,0,2,NA,NA,43.1,41.9,NA,NA,NA,NA,NA,NA,NA,NA,6083,6083,NA,NA,NA,NA,NA,NA
"13592","13592",2610.49240612551,0,0,0,702.669,31.88,0,55.99,12.13,1,NA,NA,82.5,82.5,NA,NA,NA,NA,NA,NA,NA,NA,6227,6227,NA,NA,NA,NA,NA,NA
"13593","13593",1750.71274909663,910.91,0,0,0,90.26,0,9.74,0,1,NA,NA,18.9,18.9,NA,NA,NA,NA,NA,NA,NA,NA,2854,2854,NA,NA,NA,NA,NA,NA
"13594","13594",3858.78837589855,455.631,0,0,241.704,85.52,0.88,12.11,1.49,3,NA,NA,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8865,NA,NA,NA,NA,NA,NA,NA
"13595","13595",2054.50408974933,0,0,0,0,40.06,0,59.94,0,0,NA,NA,41,41,NA,NA,NA,NA,NA,NA,NA,NA,3737,3737,NA,NA,NA,NA,NA,NA
"13596","13596",1227.60118645454,0,0,0,0,83.18,16.82,0,0,0,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939,NA,NA,NA,NA,NA,NA,NA
"13597","13597",2945.83493581143,0,0,0,0,32.08,0,67.92,0,0,NA,NA,40.4,40.4,NA,NA,NA,NA,NA,NA,NA,NA,3764,3764,NA,NA,NA,NA,NA,NA
"13598","13598",3879.86218919525,3659.182,0,0,937.926,90.97,3.46,0,5.57,2,NA,NA,36.4,34,NA,NA,NA,NA,NA,NA,NA,NA,5915,5915,NA,NA,NA,NA,NA,NA
"13599","13599",2111.60653609316,1704.713,0,0,305.359,93.07,1.5,0.6,4.83,2,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3024,NA,NA,NA,NA,NA,NA,NA
"136","136",1307.2482898836,1230.913,0,0,0,94.61,2.48,0,2.91,1,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
"1360","1360",2086.0411990535,2147.384,0,0,0,96.39,1.79,0,1.82,2,NA,NA,21,20.3,NA,NA,NA,NA,NA,NA,NA,NA,3420,3420,NA,NA,NA,NA,NA,NA
"13600","13600",6623.9964431318,3684.419,0,0,658.225,95.64,0,0.61,3.75,4,NA,NA,54.6,54.6,NA,NA,NA,NA,NA,NA,NA,NA,9138,9138,NA,NA,NA,NA,NA,NA
"13601","13601",2858.00034618243,343.411,0,0,0,82.38,0,2.57,15.05,0,NA,NA,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093,NA,NA,NA,NA,NA,NA,NA
"13602","13602",1952.70885767061,1283.417,0,0,0,78.28,0,1.83,19.89,2,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2526,NA,NA,NA,NA,NA,NA,NA
"13603","13603",2110.24208675869,582.32,0,0,0,83.45,0,9.96,6.59,0,NA,NA,26.9,26.9,NA,NA,NA,NA,NA,NA,NA,NA,3717,3717,NA,NA,NA,NA,NA,NA
"13604","13604",2757.74686336812,0,0,0,0,0,0,52.6,47.4,0,NA,NA,53.4,53.4,NA,NA,NA,NA,NA,NA,NA,NA,3657,3657,NA,NA,NA,NA,NA,NA
"13606","13606",1383.22652899938,996.024,0,0,0,60.83,0,21.63,17.54,0,NA,NA,20.3,20.3,NA,NA,NA,NA,NA,NA,NA,NA,2057,2057,NA,NA,NA,NA,NA,NA
"13607","13607",974.038261085973,39.344,0,0,787.848,55.73,0,40.69,3.57,2,NA,NA,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,1300,1300,NA,NA,NA,NA,NA,NA
"13608","13608",1856.92179912025,0,0,0,0,17.16,0,82.84,0,0,NA,NA,77.4,77.4,NA,NA,NA,NA,NA,NA,NA,NA,5536,5536,NA,NA,NA,NA,NA,NA
"13609","13609",1869.21165349887,0,0,0,0,0,0,57.06,42.94,0,NA,NA,31.8,31.8,NA,NA,NA,NA,NA,NA,NA,NA,2731,2731,NA,NA,NA,NA,NA,NA
"1361","1361",1897.65343701734,1308.118,0,0,0,98.36,0,0,1.64,1,NA,NA,11.9,11.9,NA,NA,NA,NA,NA,NA,NA,NA,2306,2306,NA,NA,NA,NA,NA,NA
"13610","13610",1376.74104347408,738.499,0,0,0,13.61,0,86.39,0,0,NA,NA,35.5,35.5,NA,NA,NA,NA,NA,NA,NA,NA,2570,2570,NA,NA,NA,NA,NA,NA
"13611","13611",1335.81977857608,0,0,0,0,22.22,0,45.08,32.7,0,NA,NA,26.3,26.3,NA,NA,NA,NA,NA,NA,NA,NA,1777,1777,NA,NA,NA,NA,NA,NA
"13612","13612",608.107918473794,0,0,0,0,89.47,0,0,10.53,0,NA,NA,5.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,902,902,NA,NA,NA,NA,NA,NA
"13613","13613",1058.05935173517,0,0,0,0,63.63,0,0,36.37,0,NA,NA,26.1,26.1,26.1,26.1,NA,NA,NA,NA,NA,NA,2400,2400,2400,2400,NA,NA,NA,NA
