"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"140","140",8634,8062,7546,-572,-516,-1088,-0.126013435255965
"141","141",5474,5680,6095,206,415,621,0.113445378151261
"142","142",13010,13117,12037,107,-1080,-973,-0.0747886241352805
"143","143",5604,4574,4577,-1030,3,-1027,-0.183261955745896
"145","145",7205,7084,7527,-121,443,322,0.0446911866759195
"146","146",2520,2833,2530,313,-303,10,0.00396825396825397
"147","147",5025,5040,4711,15,-329,-314,-0.0624875621890547
"148","148",11455,11140,10588,-315,-552,-867,-0.0756874727193365
"150","150",12850,11544,11520,-1306,-24,-1330,-0.103501945525292
"151","151",10223,9722,9243,-501,-479,-980,-0.0958622713489191
"152","152",10299,9407,9445,-892,38,-854,-0.0829206719098942
"153","153",8299,8238,8404,-61,166,105,0.0126521267622605
"154","154",11755,11926,11903,171,-23,148,0.0125903870693322
"155","155",2675,2746,2763,71,17,88,0.0328971962616822
"156","156",8820,9799,10404,979,605,1584,0.179591836734694
"157","157",3322,3284,3323,-38,39,1,0.000301023479831427
"158","158",10110,9818,9537,-292,-281,-573,-0.0566765578635015
"159","159",7709,7672,7214,-37,-458,-495,-0.0642106628615903
"160","160",11491,11677,11366,186,-311,-125,-0.0108780784962144
"163","163",7983,7730,7271,-253,-459,-712,-0.0891895277464612
"164","164",7580,6955,6531,-625,-424,-1049,-0.138390501319261
"165","165",12489,12312,12873,-177,561,384,0.0307470574105213
"166","166",2635,2637,2677,2,40,42,0.0159392789373814
"168","168",8661,8729,8528,68,-201,-133,-0.0153561944348228
"170","170",15827,15233,15053,-594,-180,-774,-0.0489037720351298
"171","171",13754,14053,14611,299,558,857,0.0623091464301294
"172","172",10910,9886,9848,-1024,-38,-1062,-0.0973418881759853
"173","173",3021,3467,3080,446,-387,59,0.0195299569678914
"174","174",9081,8661,9734,-420,1073,653,0.0719083801343464
"175","175",1617,1605,1727,-12,122,110,0.0680272108843537
"178","178",15027,15192,15573,165,381,546,0.0363345977240966
"180","180",1609,1344,1283,-265,-61,-326,-0.20261031696706
"181","181",15100,14228,13675,-872,-553,-1425,-0.0943708609271523
"182","182",3997,4003,3933,6,-70,-64,-0.0160120090067551
"183","183",7903,7141,7388,-762,247,-515,-0.0651651271668987
"184","184",13867,13829,13681,-38,-148,-186,-0.013413139107233
"185","185",3725,3695,3685,-30,-10,-40,-0.010738255033557
"186","186",5656,5208,5218,-448,10,-438,-0.0774398868458274
"187","187",8892,8061,8285,-831,224,-607,-0.068263607737292
"188","188",10997,10787,10872,-210,85,-125,-0.0113667363826498
"190","190",3721,4100,3713,379,-387,-8,-0.00214995968825585
"191","191",2976,3337,2924,361,-413,-52,-0.0174731182795699
"192","192",4539,4628,4664,89,36,125,0.0275391055298524
"193","193",3112,3632,3132,520,-500,20,0.006426735218509
"194","194",7031,7691,7324,660,-367,293,0.0416725928032997
"195","195",8870,9778,9717,908,-61,847,0.0954904171364149
"197","197",3700,4585,4659,885,74,959,0.259189189189189
"198","198",7273,7254,7731,-19,477,458,0.0629726385260553
"199","199",7749,7131,6833,-618,-298,-916,-0.11820880113563
"200","200",3967,4178,3851,211,-327,-116,-0.0292412402319133
"201","201",14640,13305,13037,-1335,-268,-1603,-0.109494535519126
"202","202",5048,5046,4901,-2,-145,-147,-0.0291204437400951
"203","203",10255,9928,9420,-327,-508,-835,-0.0814236957581667
"204","204",12850,12728,12094,-122,-634,-756,-0.0588326848249027
"205","205",6242,5837,6271,-405,434,29,0.00464594681191926
"206","206",2404,2701,1818,297,-883,-586,-0.243760399334443
"208","208",9684,9685,8887,1,-798,-797,-0.082300702189178
"209","209",13594,12916,11790,-678,-1126,-1804,-0.132705605414153
"210","210",11569,11460,10174,-109,-1286,-1395,-0.120580862650186
"211","211",5875,5833,4892,-42,-941,-983,-0.16731914893617
"212","212",5686,5409,5523,-277,114,-163,-0.0286669011607457
"213","213",3784,5322,4914,1538,-408,1130,0.298625792811839
"216","216",5473,5363,5232,-110,-131,-241,-0.0440343504476521
"217","217",11816,11760,11950,-56,190,134,0.0113405551794177
"219","219",4334,4209,3904,-125,-305,-430,-0.0992155053068759
"220","220",11110,12041,10590,931,-1451,-520,-0.0468046804680468
"221","221",11596,10439,9941,-1157,-498,-1655,-0.142721628147637
"222","222",2235,1572,1610,-663,38,-625,-0.279642058165548
"223","223",9580,8547,8523,-1033,-24,-1057,-0.110334029227557
"224","224",9102,8594,9376,-508,782,274,0.030103274005713
"225","225",9914,10703,11063,789,360,1149,0.115896711720799
"226","226",9678,9395,9741,-283,346,63,0.00650960942343459
"227","227",15210,14462,14466,-748,4,-744,-0.0489151873767258
"228","228",3619,2967,3081,-652,114,-538,-0.14865985078751
"229","229",11470,11637,10754,167,-883,-716,-0.0624237140366173
"230","230",8697,7765,8165,-932,400,-532,-0.0611705185696217
"233","233",13072,12364,12255,-708,-109,-817,-0.0625
"234","234",12428,12025,12029,-403,4,-399,-0.0321049243643386
"235","235",13574,12488,12578,-1086,90,-996,-0.0733755709444526
"236","236",4905,5169,5047,264,-122,142,0.0289500509683996
"237","237",7165,6439,6211,-726,-228,-954,-0.13314724354501
"238","238",13612,13589,13004,-23,-585,-608,-0.0446664707610932
"239","239",5668,5732,5550,64,-182,-118,-0.020818630910374
"240","240",9985,9940,9238,-45,-702,-747,-0.0748122183274912
"241","241",12566,12489,12737,-77,248,171,0.0136081489734203
"242","242",13980,15675,13504,1695,-2171,-476,-0.0340486409155937
"243","243",6757,6526,5737,-231,-789,-1020,-0.150954565635637
"244","244",6933,7134,8712,201,1578,1779,0.256598874945911
"245","245",4839,5038,4998,199,-40,159,0.0328580285182889
"246","246",12216,13220,12168,1004,-1052,-48,-0.00392927308447937
"248","248",10573,9868,9447,-705,-421,-1126,-0.106497682776885
"250","250",2774,2853,3098,79,245,324,0.116798846431146
"251","251",15068,16087,14076,1019,-2011,-992,-0.0658348818688612
"252","252",9148,7845,7603,-1303,-242,-1545,-0.168889374726716
"253","253",13378,12781,11592,-597,-1189,-1786,-0.133502765734788
"254","254",9190,9652,9235,462,-417,45,0.00489662676822633
"255","255",13865,13250,13265,-615,15,-600,-0.0432744320230797
"256","256",9246,8909,9256,-337,347,10,0.00108154877784988
"257","257",7540,7297,7444,-243,147,-96,-0.0127320954907162
"258","258",16426,15989,15372,-437,-617,-1054,-0.0641665652015098
"259","259",6995,7159,7160,164,1,165,0.0235882773409578
"260","260",10793,12179,9704,1386,-2475,-1089,-0.10089873065876
"261","261",6210,6083,6308,-127,225,98,0.015780998389694
"262","262",12121,11842,11418,-279,-424,-703,-0.057998514974012
"263","263",11088,12538,10087,1450,-2451,-1001,-0.0902777777777778
"264","264",8762,8315,8153,-447,-162,-609,-0.0695046792969642
"265","265",8553,8760,8848,207,88,295,0.0344908219338244
"266","266",15016,16255,17423,1239,1168,2407,0.16029568460309
"267","267",8063,8240,7890,177,-350,-173,-0.0214560337343421
"268","268",13164,11070,11405,-2094,335,-1759,-0.133621999392282
"269","269",15491,16441,16072,950,-369,581,0.0375056484410303
"270","270",2092,2214,2068,122,-146,-24,-0.011472275334608
"271","271",9472,8514,8687,-958,173,-785,-0.0828758445945946
"272","272",5806,5971,5603,165,-368,-203,-0.0349638305201516
"273","273",9238,8782,9481,-456,699,243,0.026304394890669
"274","274",13110,13703,13617,593,-86,507,0.0386727688787185
"275","275",5577,6052,5976,475,-76,399,0.07154384077461
"276","276",6534,7024,7226,490,202,692,0.105907560453015
"277","277",14962,14572,15688,-390,1116,726,0.0485229247426815
"278","278",9161,9232,9882,71,650,721,0.0787031983407925
"279","279",7286,7247,7083,-39,-164,-203,-0.0278616524842163
"280","280",7234,7106,6993,-128,-113,-241,-0.0333149018523638
"281","281",7186,9513,7322,2327,-2191,136,0.01892568883941
"282","282",8045,7880,7867,-165,-13,-178,-0.0221255438160348
"283","283",4315,4232,4147,-83,-85,-168,-0.0389339513325608
"284","284",2549,2429,2475,-120,46,-74,-0.0290309925460965
"285","285",13137,12617,12183,-520,-434,-954,-0.0726193194793332
"287","287",7437,7167,6868,-270,-299,-569,-0.0765093451660616
"289","289",9105,9232,9032,127,-200,-73,-0.00801757276221856
"291","291",10924,10134,11471,-790,1337,547,0.0500732332478945
"292","292",12114,13165,12786,1051,-379,672,0.0554730064388311
"294","294",10775,10525,10684,-250,159,-91,-0.00844547563805104
"295","295",9424,9474,9344,50,-130,-80,-0.00848896434634975
"296","296",7455,6021,6471,-1434,450,-984,-0.131991951710262
"297","297",17547,17362,16243,-185,-1119,-1304,-0.0743146976691172
"298","298",11564,10489,9636,-1075,-853,-1928,-0.166724316845382
"300","300",6129,6322,6545,193,223,416,0.0678740414423234
"301","301",13489,12601,13273,-888,672,-216,-0.0160130476684706
"302","302",9849,9469,9116,-380,-353,-733,-0.0744237993704945
"303","303",12625,12543,12479,-82,-64,-146,-0.0115643564356436
"304","304",4668,4470,4589,-198,119,-79,-0.016923736075407
"305","305",16800,16246,15588,-554,-658,-1212,-0.0721428571428571
"306","306",2021,2018,1991,-3,-27,-30,-0.0148441365660564
"307","307",10650,11203,11098,553,-105,448,0.0420657276995305
"308","308",2687,3058,2705,371,-353,18,0.00669892072943803
"309","309",13833,12780,12812,-1053,32,-1021,-0.0738090074459626
"310","310",6831,7808,6948,977,-860,117,0.0171277997364954
"311","311",9985,11076,11313,1091,237,1328,0.132999499248873
"312","312",5600,5369,5441,-231,72,-159,-0.0283928571428571
"314","314",3732,3426,3984,-306,558,252,0.067524115755627
"315","315",2985,2574,2370,-411,-204,-615,-0.206030150753769
"316","316",6757,6078,6561,-679,483,-196,-0.029006955749593
"317","317",11402,11117,11719,-285,602,317,0.0278021399754429
"318","318",11982,11282,10793,-700,-489,-1189,-0.0992321816057419
"319","319",3660,3392,3366,-268,-26,-294,-0.080327868852459
"320","320",13789,13024,12830,-765,-194,-959,-0.0695481905866995
"321","321",7880,7342,7369,-538,27,-511,-0.0648477157360406
"322","322",5774,6098,5685,324,-413,-89,-0.015413924489089
"323","323",10532,10721,10390,189,-331,-142,-0.013482719331561
"324","324",13089,12809,12383,-280,-426,-706,-0.0539384215753686
"325","325",4299,4241,3881,-58,-360,-418,-0.0972319143986974
"326","326",2724,3354,2512,630,-842,-212,-0.0778267254038179
"328","328",8330,7379,7098,-951,-281,-1232,-0.147899159663866
"329","329",16316,16468,15775,152,-693,-541,-0.0331576366756558
"330","330",9964,9365,9493,-599,128,-471,-0.0472701726214372
"331","331",17601,16960,15258,-641,-1702,-2343,-0.133117436509289
"332","332",4886,4817,4421,-69,-396,-465,-0.0951698731068359
"333","333",3799,3821,3836,22,15,37,0.009739405106607
"335","335",7539,7649,7521,110,-128,-18,-0.00238758456028651
"336","336",9408,10116,9486,708,-630,78,0.00829081632653061
"337","337",5199,5429,5513,230,84,314,0.0603962300442393
"338","338",3396,3162,3846,-234,684,450,0.132508833922261
"339","339",14097,13620,13932,-477,312,-165,-0.0117046180038306
"340","340",16195,15921,14685,-274,-1236,-1510,-0.0932386539055264
"341","341",7765,8209,7751,444,-458,-14,-0.00180296200901481
"342","342",13882,13476,13732,-406,256,-150,-0.0108053594582913
"343","343",6817,6213,5979,-604,-234,-838,-0.122927974182192
"344","344",4470,4587,4237,117,-350,-233,-0.0521252796420582
"345","345",12556,12423,12362,-133,-61,-194,-0.015450780503345
"346","346",12009,11092,11088,-917,-4,-921,-0.0766924806395204
"347","347",7731,7916,7857,185,-59,126,0.0162980209545984
"348","348",13281,12561,11907,-720,-654,-1374,-0.103456065055342
"349","349",9758,9842,9482,84,-360,-276,-0.0282844845255175
"350","350",7817,7354,8184,-463,830,367,0.0469489574005373
"351","351",12163,13345,11878,1182,-1467,-285,-0.0234317191482365
"352","352",7335,7829,7309,494,-520,-26,-0.00354464894342195
"353","353",16052,15873,15369,-179,-504,-683,-0.042549215051084
"354","354",5233,5380,5329,147,-51,96,0.0183451175234091
"355","355",5818,6521,5572,703,-949,-246,-0.0422825713303541
"356","356",3987,3944,4293,-43,349,306,0.0767494356659142
"357","357",3004,2997,3204,-7,207,200,0.066577896138482
"358","358",14590,14764,14882,174,118,292,0.0200137080191912
"359","359",2488,2859,2934,371,75,446,0.179260450160772
"361","361",8708,8206,7810,-502,-396,-898,-0.103123564538356
"362","362",8549,7939,7885,-610,-54,-664,-0.0776699029126214
"363","363",9661,9681,9211,20,-470,-450,-0.0465790290860159
"364","364",3634,3747,3346,113,-401,-288,-0.0792515134837644
"366","366",1846,1590,1570,-256,-20,-276,-0.149512459371614
"368","368",8172,8231,7106,59,-1125,-1066,-0.130445423396965
"369","369",14152,13414,12415,-738,-999,-1737,-0.122738835500283
"370","370",14500,12443,11741,-2057,-702,-2759,-0.190275862068966
"372","372",13810,13293,13921,-517,628,111,0.00803765387400435
"373","373",2046,2385,2007,339,-378,-39,-0.0190615835777126
"374","374",13605,13415,14785,-190,1370,1180,0.0867328188166115
"375","375",9758,8429,8561,-1329,132,-1197,-0.122668579626973
"376","376",7382,7419,6826,37,-593,-556,-0.0753183419127608
"377","377",6000,5728,5719,-272,-9,-281,-0.0468333333333333
"379","379",9487,10001,9622,514,-379,135,0.014229998945926
"381","381",7689,7685,7379,-4,-306,-310,-0.0403173364546755
"383","383",1462,1620,1749,158,129,287,0.196306429548564
"384","384",8544,9115,7975,571,-1140,-569,-0.0665964419475655
"385","385",11640,11791,11170,151,-621,-470,-0.0403780068728522
"386","386",14336,15917,13637,1581,-2280,-699,-0.0487583705357143
"388","388",3437,3464,3340,27,-124,-97,-0.0282222868780914
"389","389",12599,12481,12259,-118,-222,-340,-0.0269862687514882
"390","390",3740,3443,3517,-297,74,-223,-0.0596256684491979
"391","391",3233,3234,2774,1,-460,-459,-0.141973399319517
"392","392",13603,14773,12957,1170,-1816,-646,-0.0474895243696244
"393","393",12184,11912,11217,-272,-695,-967,-0.0793663821405121
"394","394",5453,7159,5892,1706,-1267,439,0.0805061434072987
"396","396",6449,6298,6812,-151,514,363,0.0562877965576058
"397","397",7086,7005,6156,-81,-849,-930,-0.131244707874682
"399","399",1808,2097,1998,289,-99,190,0.105088495575221
"400","400",6980,6781,6690,-199,-91,-290,-0.0415472779369628
"401","401",12968,12977,13029,9,52,61,0.0047038864898211
"402","402",13694,14032,12797,338,-1235,-897,-0.0655031400613407
"403","403",7982,8660,8303,678,-357,321,0.040215484840892
"406","406",5134,6717,6154,1583,-563,1020,0.198675496688742
"408","408",12304,12091,12109,-213,18,-195,-0.0158485045513654
"410","410",5334,6124,5332,790,-792,-2,-0.000374953130858643
"411","411",6590,6574,5414,-16,-1160,-1176,-0.17845220030349
"412","412",7173,7187,7075,14,-112,-98,-0.013662344904503
"413","413",10661,10881,10225,220,-656,-436,-0.0408967263858925
"414","414",1159,1236,1343,77,107,184,0.158757549611734
"415","415",7850,7845,7131,-5,-714,-719,-0.0915923566878981
"418","418",6491,5909,5940,-582,31,-551,-0.0848867662917886
